,ORIGSA2_Code,Active,Car,Proportion,Class,Typology
1,206011105,52,56,0.481481481,2,Typical suburban area
2,206011106,34,24,0.586206897,4,Urban core districts
3,206011107,8,16,0.333333333,1,Urban mixed use and residential area
4,206011108,35,74,0.321100917,2,Typical suburban area
5,206011109,1,19,0.05,3,Spacious residential area
6,206021110,23,50,0.315068493,1,Urban mixed use and residential area
7,206021111,17,50,0.253731343,4,Urban core districts
8,206021112,4,47,0.078431373,3,Spacious residential area
9,206031113,24,52,0.315789474,1,Urban mixed use and residential area
10,206031114,17,101,0.144067797,1,Urban mixed use and residential area
11,206031115,8,15,0.347826087,1,Urban mixed use and residential area
12,206031116,32,51,0.385542169,1,Urban mixed use and residential area
13,206041117,16,28,0.363636364,4,Urban core districts
14,206041118,77,32,0.706422018,4,Urban core districts
15,206041119,46,37,0.554216867,4,Urban core districts
16,206041120,1,1,0.5,0,Excluded
17,206041121,26,31,0.456140351,4,Urban core districts
18,206041122,354,116,0.753191489,4,Urban core districts
19,206041123,23,24,0.489361702,4,Urban core districts
20,206041124,33,34,0.492537313,3,Spacious residential area
21,206041125,21,24,0.466666667,4,Urban core districts
22,206041126,77,36,0.681415929,4,Urban core districts
23,206041127,0,8,0,0,Excluded
24,206051128,41,53,0.436170213,4,Urban core districts
25,206051129,24,39,0.380952381,2,Typical suburban area
26,206051130,18,20,0.473684211,4,Urban core districts
27,206051131,6,26,0.1875,0,Excluded
28,206051132,28,47,0.373333333,4,Urban core districts
29,206051133,53,65,0.449152542,4,Urban core districts
30,206051134,29,44,0.397260274,2,Typical suburban area
31,206061135,7,20,0.259259259,4,Urban core districts
32,206061136,32,44,0.421052632,4,Urban core districts
33,206061137,21,36,0.368421053,4,Urban core districts
34,206061138,12,36,0.25,1,Urban mixed use and residential area
35,206071139,26,32,0.448275862,4,Urban core districts
36,206071140,3,12,0.2,4,Urban core districts
37,206071141,10,22,0.3125,1,Urban mixed use and residential area
38,206071142,20,32,0.384615385,4,Urban core districts
39,206071143,34,46,0.425,4,Urban core districts
40,206071144,84,109,0.435233161,4,Urban core districts
41,206071145,12,30,0.285714286,3,Spacious residential area
42,207011146,2,24,0.076923077,1,Urban mixed use and residential area
43,207011147,12,79,0.131868132,3,Spacious residential area
44,207011148,15,100,0.130434783,2,Typical suburban area
45,207011149,40,123,0.245398773,1,Urban mixed use and residential area
46,207011150,24,73,0.24742268,3,Spacious residential area
47,207011151,31,94,0.248,2,Typical suburban area
48,207011152,22,63,0.258823529,3,Spacious residential area
49,207011153,26,115,0.184397163,2,Typical suburban area
50,207011154,9,25,0.264705882,1,Urban mixed use and residential area
51,207011155,14,85,0.141414141,3,Spacious residential area
52,207021156,2,62,0.03125,1,Urban mixed use and residential area
53,207021157,5,73,0.064102564,2,Typical suburban area
54,207021159,7,100,0.065420561,3,Spacious residential area
55,207021160,3,46,0.06122449,2,Typical suburban area
56,207031161,34,150,0.184782609,2,Typical suburban area
57,207031162,8,57,0.123076923,1,Urban mixed use and residential area
58,207031163,18,105,0.146341463,1,Urban mixed use and residential area
59,207031164,9,42,0.176470588,3,Spacious residential area
60,207031165,12,37,0.244897959,1,Urban mixed use and residential area
61,207031166,6,106,0.053571429,1,Urban mixed use and residential area
62,207031167,2,29,0.064516129,1,Urban mixed use and residential area
63,208011168,2,33,0.057142857,2,Typical suburban area
64,208011169,14,120,0.104477612,3,Spacious residential area
65,208011170,5,30,0.142857143,1,Urban mixed use and residential area
66,208011171,2,32,0.058823529,2,Typical suburban area
67,208011172,23,117,0.164285714,3,Spacious residential area
68,208011173,4,31,0.114285714,3,Spacious residential area
69,208021174,7,70,0.090909091,2,Typical suburban area
70,208021176,11,65,0.144736842,1,Urban mixed use and residential area
71,208021177,15,82,0.154639175,3,Spacious residential area
72,208021178,9,62,0.126760563,2,Typical suburban area
73,208021179,10,46,0.178571429,1,Urban mixed use and residential area
74,208021180,11,47,0.189655172,1,Urban mixed use and residential area
75,208021181,7,26,0.212121212,1,Urban mixed use and residential area
76,208021182,3,13,0.1875,1,Urban mixed use and residential area
77,208031183,5,30,0.142857143,3,Spacious residential area
78,208031184,0,22,0,0,Excluded
79,208031185,1,35,0.027777778,1,Urban mixed use and residential area
80,208031186,9,37,0.195652174,2,Typical suburban area
81,208031187,4,20,0.166666667,1,Urban mixed use and residential area
82,208031188,12,102,0.105263158,1,Urban mixed use and residential area
83,208031189,3,17,0.15,1,Urban mixed use and residential area
84,208031190,2,35,0.054054054,2,Typical suburban area
