"","ORIGSA2_Code","Active","Car","Proportion"
"251",214011372,11,82,0.118279569892473
"252",214011373,14,106,0.116666666666667
"253",214011374,6,71,0.0779220779220779
"254",214011375,2,64,0.0303030303030303
"255",214011376,9,49,0.155172413793103
"256",214021377,1,44,0.0222222222222222
"257",214021378,3,21,0.125
"258",214021379,10,68,0.128205128205128
"259",214021380,16,201,0.0737327188940092
"260",214021381,20,79,0.202020202020202
"261",214021382,2,25,0.0740740740740741
"262",214021383,13,127,0.0928571428571429
"263",214021384,18,119,0.131386861313869
"264",214021385,3,58,0.0491803278688525
